,Unnamed: 0,Spanish,English
0,0,que,that
1,1,de,of
2,2,no,No
3,3,a,to
4,4,la,the
5,5,es,is
6,6,y,and
7,7,en,in
8,8,lo,it
9,9,un,a
10,10,por,by
11,11,qué,that
12,12,me,me
13,13,una,a
14,14,te,tea
15,15,los,the
16,16,se,HE
17,17,con,with
18,18,para,for
19,19,mi,my
20,20,está,this
21,21,si,Yeah
22,22,bien,good
23,23,pero,but
24,24,yo,I
25,25,eso,that
26,27,sí,Yeah
27,28,su,his
28,29,tu,you
29,30,del,of the
30,31,al,to the
31,32,como,as
32,33,le,you
33,34,más,further
34,35,ya,already
35,36,todo,all
36,37,esta,this
37,38,vamos,come on
38,39,muy,very
39,40,hay,there is
40,41,ahora,now
41,42,algo,something
42,43,estoy,I'm
43,44,tengo,I have
44,45,nos,us
45,46,nada,nothing
46,47,cuando,when
47,48,ha,ha
48,49,este,this
49,50,sé,HE
50,51,así,So
51,52,puedo,I can
52,53,cómo,as
53,54,quiero,wanna
54,55,sólo,only
55,56,soy,am
56,57,tiene,has
57,58,gracias,thank you
58,59,o,either
59,60,él,he
60,61,bueno,Well
61,62,fue,was
62,63,ser,be
63,64,son,are
64,65,todos,all
65,66,era,was
66,67,vez,time
67,68,tienes,have
68,69,creo,believe
69,70,ella,she
70,71,he,he
71,72,ese,that
72,73,voy,go
73,74,puede,can
74,75,sabes,You know
75,76,hola,hello
76,77,porque,because
77,78,dios,God
78,79,quién,who
79,80,nunca,never
80,81,dónde,where
81,82,quieres,want
82,83,casa,home
83,84,favor,favor
84,85,esa,that
85,86,dos,two
86,87,tan,so
87,88,señor,Sir
88,89,tiempo,time
89,90,verdad,TRUE
90,91,estaba,was
91,92,mejor,better
92,93,están,are
93,94,va,goes
94,95,usted,you
95,96,mucho,a lot
96,97,hace,does
97,98,entonces,so
98,99,tenemos,have
99,100,puedes,can
100,101,ahí,there
101,102,ti,you
102,103,vida,life
103,104,ver,see
104,105,alguien,someone
105,106,sr,Mr
106,107,hasta,until
107,108,mí,my
108,109,solo,only
109,110,años,years
110,111,sobre,about
111,112,decir,say
112,113,uno,one
113,114,siempre,always
114,115,oh,oh
115,116,ir,go
116,117,cosas,things
117,118,también,also
118,119,antes,before
119,120,ni,neither
120,121,mis,my
121,122,día,day
122,123,estar,be
123,124,estamos,we are
124,125,noche,evening
125,126,nadie,nobody
126,127,otra,other
127,128,quiere,wants
128,129,parece,seems
129,130,nosotros,us
130,131,poco,bit
131,132,padre,father
132,133,trabajo,job
133,134,mira,look
134,135,vas,you're going
135,136,sea,be
136,137,donde,where
137,138,mismo,same
138,139,hecho,made
139,140,ellos,they
140,141,dijo,said
141,142,pasa,happens
142,143,dinero,money
143,145,tal,such
144,146,otro,other
145,148,seguro,sure
146,149,claro,clear
147,150,estas,are
148,151,lugar,place
149,152,mundo,world
150,153,amigo,friend
151,154,espera,wait
152,155,mierda,shit
153,156,han,they have
154,157,tus,your
155,158,sabe,knows
156,159,después,after
157,160,momento,moment
158,161,desde,from
159,162,fuera,out
160,163,cosa,stuff
161,164,tipo,guy
162,165,mañana,tomorrow
163,166,podemos,can
164,167,dije,said
165,168,gran,great
166,169,necesito,need
167,170,estado,state
168,171,podría,could
169,172,acuerdo,agreement
170,173,papá,dad
171,174,tener,have
172,175,dice,says
173,176,mío,mine
174,177,crees,do you think
175,178,buena,good
176,179,gusta,like
177,180,nuestro,our
178,181,nuevo,new
179,182,será,will be
180,183,haciendo,doing
181,184,días,days
182,185,nombre,name
183,186,buen,good
184,187,había,there was
185,188,ven,come
186,189,tres,three
187,190,menos,less
188,191,debe,has to
189,192,tenía,had
190,193,mal,evil
191,194,conmigo,with me
192,195,madre,mother
193,196,hoy,today
194,197,quien,who
195,198,sido,been
196,199,mamá,mother
197,200,tienen,have
198,201,luego,then
199,202,todas,all
200,203,allí,over there
201,204,toda,all
202,205,hora,hour
203,206,mujer,women
204,207,visto,seen
205,208,haces,you do
206,209,importa,matters
207,210,contigo,with you
208,211,ve,go
209,212,tarde,late
210,213,oye,hey
211,214,parte,part
212,215,haber,have
213,216,hombres,men
214,217,problema,problem
215,218,mas,further
